CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Female,25,19,14
12,Male,28,19,99
13,Male,29,20,15
14,Female,42,20,77
15,Female,45,20,13
16,Female,32,20,79
17,Female,35,21,35
18,Female,37,21,66
19,Female,20,21,92
20,Female,38,21,34
21,Male,36,22,88
22,Female,45,22,18
23,Female,56,22,85
24,Female,52,22,48
25,Female,55,23,32
26,Female,57,23,86
27,Female,39,23,97
28,Female,28,23,21
29,Female,31,24,20
30,Female,33,24,7
31,Female,34,24,10
32,Female,36,24,94
33,Female,40,24,1
34,Female,42,25,61
35,Female,44,25,15
36,Female,46,25,82
37,Female,48,25,95
38,Female,50,25,5
39,Female,52,25,22
40,Female,54,26,33
41,Female,56,26,98
42,Female,58,26,17
43,Female,60,26,81
44,Female,62,26,47
45,Female,64,27,16
46,Female,66,27,83
47,Female,68,27,96
48,Female,70,27,45
49,Female,72,27,34
50,Female,74,27,23
51,Female,76,27,62
52,Female,78,28,55
53,Female,80,28,35
54,Female,82,28,87
55,Female,84,28,18
56,Female,86,28,93
57,Female,88,28,46
58,Female,90,28,24
59,Female,92,28,63
60,Female,94,29,36
61,Female,96,29,89
62,Female,98,29,19
63,Female,100,29,99
64,Female,102,29,48
65,Female,104,29,25
66,Female,106,29,64
67,Female,108,29,37
68,Female,110,30,90
69,Female,112,30,20
70,Female,114,30,100
71,Female,116,30,49
72,Female,118,30,26
73,Female,120,30,65
74,Female,122,30,38
75,Female,124,30,91
76,Female,126,31,21
77,Female,128,31,101
78,Female,130,31,50
79,Female,132,31,27
80,Female,134,31,66
81,Female,136,31,39
82,Female,138,31,92
83,Female,140,31,22
84,Female,142,32,102
85,Female,144,32,51
86,Female,146,32,28
87,Female,148,32,67
88,Female,150,32,40
89,Female,152,32,93
90,Female,154,32,23
91,Female,156,32,103
92,Female,158,33,52
93,Female,160,33,29
94,Female,162,33,68
95,Female,164,33,41
96,Female,166,33,94
97,Female,168,33,24
98,Female,170,33,104
99,Female,172,34,53
100,Female,174,34,30
101,Female,176,34,69
102,Female,178,34,42
103,Female,180,34,95
104,Female,182,34,25
105,Female,184,34,105
106,Female,186,35,54
107,Female,188,35,31
108,Female,190,35,70
109,Female,192,35,43
110,Female,194,35,96
111,Female,196,35,26
112,Female,198,35,106
113,Female,200,35,55
114,Female,202,36,32
115,Female,204,36,71
116,Female,206,36,44
117,Female,208,36,97
118,Female,210,36,27
119,Female,212,36,107
120,Female,214,36,56
121,Female,216,37,33
122,Female,218,37,72
123,Female,220,37,45
124,Female,222,37,98
125,Female,224,37,28
126,Female,226,37,108
127,Female,228,37,57
128,Female,230,38,34
129,Female,232,38,73
130,Female,234,38,46
131,Female,236,38,99
132,Female,238,38,29
133,Female,240,38,109
134,Female,242,39,58
135,Female,244,39,35
136,Female,246,39,74
137,Female,248,39,47
138,Female,250,39,110
139,Female,252,39,30
140,Female,254,39,111
141,Female,256,40,59
142,Female,258,40,36
143,Female,260,40,75
144,Female,262,40,48
145,Female,264,40,112
146,Female,266,40,31
147,Female,268,40,113
148,Female,270,40,60
149,Female,272,41,37
150,Female,274,41,76
151,Female,276,41,49
152,Female,278,41,114
153,Female,280,41,32
154,Female,282,41,115
155,Female,284,41,61
156,Female,286,42,38
157,Female,288,42,77
158,Female,290,42,50
159,Female,292,42,116
160,Female,294,42,33
161,Female,296,42,117
162,Female,298,42,62
163,Female,300,43,39
164,Female,302,43,78
165,Female,304,43,51
166,Female,306,43,118
167,Female,308,43,34
168,Female,310,43,119
169,Female,312,43,63
170,Female,314,44,40
171,Female,316,44,79
172,Female,318,44,52
173,Female,320,44,120
174,Female,322,44,35
175,Female,324,44,121
176,Female,326,44,64
177,Female,328,45,41
178,Female,330,45,80
179,Female,332,45,53
180,Female,334,45,122
181,Female,336,45,36
182,Female,338,45,123
183,Female,340,45,65
184,Female,342,46,42
185,Female,344,46,81
186,Female,346,46,54
187,Female,348,46,124
188,Female,350,46,37
189,Female,352,46,125
190,Female,354,46,66
191,Female,356,47,43
192,Female,358,47,82
193,Female,360,47,55
194,Female,362,47,126
195,Female,364,47,38
196,Female,366,47,127
197,Female,368,47,67
198,Female,370,48,44
199,Female,372,48,83
200,Female,374,48,56
